,source,author,title,description,url,urlToImage,publishedAt,content,date,nextPosition
0,"{'id': 'bloomberg', 'name': 'Bloomberg'}","Devika Krishna Kumar, Kevin Crowley",Exxon's Trading Ambitions Mean Culture Shift to More Risk-Taking,Exxon Mobil Corp.’s ambitious plan to storm the world of energy trading is getting a skeptical reaction from seasoned market observers who say the oil giant could be a formidable foe — but only if it takes risks it hasn’t been willing to stomach before.,https://www.bloomberg.com/news/articles/2023-02-11/exxon-s-trading-ambitions-mean-culture-shift-to-more-risk-taking,https://assets.bwbx.io/images/users/iqjWHBFdfxIU/iF9NqovmJfww/v1/1200x800.jpg,2023-02-11T14:53:38Z,Exxon Mobil Corp.s ambitious plan to storm the world of energy trading is getting a skeptical reaction from seasoned market observers who say the oil giant could be a formidable foe but only if it ta… [+4776 chars],2023-02-11,0.0
1,"{'id': None, 'name': 'Biztoc.com'}",yahoo.com,Exxon’s Trading Ambitions Mean Culture Shift to More Risk-Taking,Exxon Mobil Corp.’s ambitious plan to storm the world of energy trading is getting a skeptical reaction from seasoned market observers who say the oil giant could be a formidable foe — but only if it takes risks it hasn’t been willing to stomach before. • Non…,https://biztoc.com/x/83d6b35523721fb1,https://c.biztoc.com/p/83d6b35523721fb1/og.webp,2023-02-12T10:36:09Z,Exxon Mobil Corp.s ambitious plan to storm the world of energy trading is getting a skeptical reaction from seasoned market observers who say the oil giant could be a formidable foe but only if it ta… [+311 chars],2023-02-12,0.0
2,"{'id': None, 'name': 'Yahoo Entertainment'}",Devika Krishna Kumar and Kevin Crowley,Exxon’s Trading Ambitions Mean Culture Shift to More Risk-Taking,(Bloomberg) -- Exxon Mobil Corp.’s ambitious plan to storm the world of energy trading is getting a skeptical reaction from seasoned market observers who say...,https://finance.yahoo.com/news/exxon-trading-ambitions-mean-culture-145338867.html,https://s.yimg.com/ny/api/res/1.2/shclRaBBN29SXG7RAVTREA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD03MDQ-/https://media.zenfs.com/en/bloomberg_markets_842/7e1f5859a9d33d338899a3c971f9c4d6,2023-02-11T14:53:38Z,(Bloomberg) Exxon Mobil Corp.s ambitious plan to storm the world of energy trading is getting a skeptical reaction from seasoned market observers who say the oil giant could be a formidable foe but o… [+4645 chars],2023-02-11,0.0
3,"{'id': None, 'name': 'Yahoo Entertainment'}",Jing Pan,'It's outrageous': Biden blasts Big Oil's record profits amid the 'energy crisis' — proposes quadrupling the tax on buybacks. Here's how much the 3 giant US-based producers made in 2022,It’s a dirty business. Somebody’s gotta tax it.,https://finance.yahoo.com/news/outrageous-biden-blasts-big-oils-130000623.html,https://media.zenfs.com/en/moneywise_327/ae50d2206df827583030f7ff9175f8d5,2023-02-11T13:00:00Z,"'It's outrageous': Biden blasts Big Oil's record profits amid the 'energy crisis' proposes quadrupling the tax on buybacks. Here's how much the 3 giant US-based producers made in 2022
Thanks to stro… [+3946 chars]",2023-02-11,0.0
4,"{'id': 'fortune', 'name': 'Fortune'}","Devika Krishna Kumar, Kevin Crowley, Bloomberg",Exxon Mobil is plowing into energy trading and has everything it needs—except the right culture,Is the oil giant willing to take risks and fail?,https://fortune.com/2023/02/11/exxon-mobil-plowing-into-energy-trading-has-everything-it-needs-except-right-culture/,"https://content.fortune.com/wp-content/uploads/2023/02/GettyImages-984388920-e1676133346518.jpg?resize=1200,600",2023-02-11T16:42:42Z,Exxon Mobil Corp.s ambitious plan to storm the world of energy trading is getting a skeptical reaction from seasoned market observers who say the oil giant could be a formidable foe but only if it ta… [+4708 chars],2023-02-11,0.0
5,"{'id': None, 'name': 'Yahoo Entertainment'}",Ramish Cheema,12 Most Profitable Oil Stocks in the World,"In this piece, we will take a look at the 12 most profitable oil stocks in the world. For more companies, head on over to 5 Most Profitable Oil Stocks in the...",https://finance.yahoo.com/news/12-most-profitable-oil-stocks-213658965.html,https://media.zenfs.com/en/insidermonkey.com/6f0ec0150aefe881f68123f79042c7d0,2023-02-12T21:36:58Z,"In this piece, we will take a look at the 12 most profitable oil stocks in the world. For more companies, head on over to 5 Most Profitable Oil Stocks in the World. 
2022 was a year marked by tough … [+10075 chars]",2023-02-12,0.0
6,"{'id': None, 'name': 'Seeking Alpha'}",Kevin George,Equinor: Dividends Rising At The Norwegian Energy Major After 75% Price Gains,"Equinor rose 75% over the 3-year period but has stalled, and its 10-year outlook looks good after record profits this quarter. See why EQNR stock is a buy.",https://seekingalpha.com/article/4577476-equinor-dividends-rising-norwegian-energy-major-after-price-gains,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1442790542/image_1442790542.jpg?io=getty-c-w1536,2023-02-11T05:36:16Z,"JHVEPhoto
I wrote an article in 2019 suggesting that Equinor (NYSE:EQNR) was underpriced compared to its U.S. peers and could be a good addition to portfolios for its European gas focus. The stock i… [+6781 chars]",2023-02-11,0.0
7,"{'id': None, 'name': 'Biztoc.com'}",fortune.com,Exxon Mobil is plowing into energy trading and has everything it needs,Exxon Mobil Corp.’s ambitious plan to storm the world of energy trading is getting a skeptical reaction from seasoned market observers who say the oil giant could be a formidable foe — but only if it takes risks it hasn’t been willing to stomach before. Exxon…,https://biztoc.com/x/be2d9e0d8a53faf0,https://c.biztoc.com/p/be2d9e0d8a53faf0/og.webp,2023-02-11T16:50:07Z,Exxon Mobil Corp.s ambitious plan to storm the world of energy trading is getting a skeptical reaction from seasoned market observers who say the oil giant could be a formidable foe but only if it ta… [+324 chars],2023-02-11,0.0
8,"{'id': None, 'name': 'Biztoc.com'}",businessinsider.com,"ExxonMobil, Shell lead Big Oil's eye-watering $221 billion profit binge that Biden has slammed as 'outrageous'","Oil refinery Andrey Rudakov/Bloomberg Oil majors posted record profits for 2022, benefiting from the energy-market turmoil triggered by Russia's invasion of Ukraine. US President Joe Biden thinks it's 'outrageous', saying the firms invested too little of such…",https://biztoc.com/x/c4a53385d98bf11f,https://c.biztoc.com/p/c4a53385d98bf11f/og.webp,2023-02-12T11:10:07Z,"Oil refineryAndrey Rudakov/BloombergOil majors posted record profits for 2022, benefiting from the energy-market turmoil triggered by Russia's invasion of Ukraine.US President Joe Biden thinks it's '… [+310 chars]",2023-02-12,0.0
9,"{'id': None, 'name': 'Seeking Alpha'}",FerdiS,The Dividend Aristocrats Ranked By Quality Scores,Annual rebalancing and subsequent changes to the S&P 500 Dividend Aristocrats Index have produced a new list of 67 stocks called the Dividend Aristocrats. Click here to see them.,https://seekingalpha.com/article/4577402-the-dividend-aristocrats-ranked-by-quality-scores,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1310097420/image_1310097420.jpg?io=getty-c-w1536,2023-02-11T14:30:00Z,"Maksymenko Nataliia/iStock via Getty Images
Created by the author
Last month, I ranked the Dividend Kings using quality scores obtained from a version of DVK Quality Snapshots that employs six qual… [+28451 chars]",2023-02-11,0.0
